Title of dataset,ESS round,Edition,Production date,Respondent's identification number,Country,Design weight,Post-stratification weight including design weight,Population size weight (must be combined with dweight or pspwght),Analysis weight,Sampling probability,Sampling stratum,Primary sampling unit,Personal use of internet/e-mail/www,"Internet use, how often","Internet use, how much time on typical day, in minutes","News about politics and current affairs, watching, reading or listening, in minutes","Newspaper reading, politics/current affairs on average weekday","Newspaper reading, total time on average weekday","Most people try to take advantage of you, or try to be fair",Most of the time people helpful or mostly looking out for themselves,Most people can be trusted or you can't be too careful,"Radio listening, news/politics/current affairs on average weekday","Radio listening, total time on average weekday","TV watching, news/politics/current affairs on average weekday","TV watching, total time on average weekday",Placement on left right scale,Trust in the legal system,Trust in politicians,"Party voted for in last national election, United Kingdom","Party voted for in last national election, United Kingdom","Party voted for in last national election, United Kingdom","Party voted for in last national election, United Kingdom","Party voted for in last national election, United Kingdom",Feeling of safety of walking alone in local area after dark,How emotionally attached to [country],How emotionally attached to Europe,Belong to minority ethnic group in country,How often worry about your home being burgled,Born in country,Country of birth,Citizen of country,Member of a group discriminated against in this country,"Religion or denomination belonging to at present, United Kingdom","Religion or denomination belonging to in the past, United Kingdom",Number of people living regularly as member of household,Gender,Gender of second person in household,Year of birth,"Age of respondent, calculated","Age of respondent, calculated","Age group, post coded","Highest level of education, United Kingdom","Highest level of education, United Kingdom","Legal marital status, United Kingdom","Relationship with husband/wife/partner currently living with, United Kingdom",Important that government is strong and ensures safety,Important that government is strong and ensures safety,Region,"Region, United Kingdom",Year,Adjusted l/r placement
ESS5e03_6,5,3.6,18.08.2025,10500810,GB,1.0583352,1.1598182,2.1136785,2.4514828,,,,6.0,,,,1.0,4.0,5,5,5,1.0,4.0,1.0,6.0,3,0,1,66.0,,,,,1,,,2.0,2.0,1,,1,2,Roman Catholic,6666.0,3,1,2,1962,,48,,,,,,3.0,,West Midlands (England),,2010,-2
ESS5e03_6,5,3.6,18.08.2025,10500869,GB,0.5291676,0.3949382,2.1136785,0.83477235,,,,7.0,,,,66.0,0.0,4,8,2,1.0,5.0,1.0,6.0,3,2,3,77.0,,,,,4,,,2.0,2.0,1,,1,2,Not applicable,6666.0,3,2,1,1972,,38,,,,,,2.0,,West Midlands (England),,2010,-2
ESS5e03_6,5,3.6,18.08.2025,10500901,GB,1.0583352,2.3512313,2.1136785,4.969747,,,,6.0,,,,66.0,0.0,3,4,4,1.0,2.0,2.0,7.0,5,5,5,1.0,,,,,2,,,2.0,2.0,1,,1,2,Not applicable,6666.0,2,2,1,1967,,43,,,,,,3.0,,West Midlands (England),,2010,0
ESS5e03_6,5,3.6,18.08.2025,10500919,GB,2.1166704,2.2846289,2.1136785,4.828971,,,,7.0,,,,0.0,1.0,7,7,4,0.0,2.0,0.0,6.0,5,6,3,66.0,,,,,2,,,2.0,2.0,1,,1,2,Roman Catholic,6666.0,5,1,1,1992,,18,,,,,,3.0,,West Midlands (England),,2010,0
ESS5e03_6,5,3.6,18.08.2025,10500935,GB,0.5291676,0.30693892,2.1136785,0.64877015,,,,0.0,,,,66.0,0.0,5,2,5,66.0,0.0,0.0,7.0,5,2,2,2.0,,,,,3,,,2.0,4.0,1,,1,1,Not applicable,6666.0,1,2,6,1948,,62,,,,,,2.0,,West Midlands (England),,2010,0
ESS5e03_6,5,3.6,18.08.2025,10500976,GB,0.5291676,0.3949382,2.1136785,0.83477235,,,,6.0,,,,1.0,2.0,6,3,8,1.0,6.0,1.0,1.0,5,5,1,2.0,,,,,2,,,2.0,4.0,1,,1,2,Roman Catholic,6666.0,1,2,6,1958,,52,,,,,,2.0,,West Midlands (England),,2010,0
ESS5e03_6,5,3.6,18.08.2025,10500984,GB,0.5291676,0.26747704,2.1136785,0.5653604,,,,6.0,,,,66.0,0.0,2,2,2,0.0,2.0,0.0,1.0,4,2,2,2.0,,,,,1,,,2.0,4.0,1,,1,1,Not applicable,6666.0,1,1,6,1943,,67,,,,,,5.0,,West Midlands (England),,2010,-1
ESS5e03_6,5,3.6,18.08.2025,10500992,GB,1.5875027,1.1848146,2.1136785,2.504317,,,,7.0,,,,1.0,1.0,3,5,3,1.0,1.0,2.0,7.0,6,5,1,3.0,,,,,2,,,2.0,3.0,1,,1,2,Not applicable,6666.0,3,2,1,1965,,45,,,,,,2.0,,West Midlands (England),,2010,1
ESS5e03_6,5,3.6,18.08.2025,10601034,GB,0.5291676,0.41737354,2.1136785,0.88219345,,,,7.0,,,,1.0,2.0,4,4,4,2.0,4.0,2.0,2.0,5,3,3,2.0,,,,,2,,,2.0,3.0,1,,1,2,Church of England / Anglican,6666.0,4,2,1,1979,,31,,,,,,2.0,,West Midlands (England),,2010,0
ESS5e03_6,5,3.6,18.08.2025,10601091,GB,0.5291676,0.29642195,2.1136785,0.62654066,,,,7.0,,,,2.0,2.0,8,8,8,1.0,3.0,3.0,5.0,10,8,5,1.0,,,,,1,,,2.0,4.0,1,,1,2,Roman Catholic,6666.0,1,1,6,1944,,67,,,,,,1.0,,West Midlands (England),,2010,5
ESS5e03_6,5,3.6,18.08.2025,10601109,GB,1.0583352,0.7631879,2.1136785,1.6131338,,,,7.0,,,,1.0,1.0,5,6,3,66.0,0.0,1.0,88.0,5,2,1,3.0,,,,,3,,,2.0,3.0,1,,1,2,Not applicable,6666.0,5,2,1,1973,,37,,,,,,2.0,,West Midlands (England),,2010,0
ESS5e03_6,5,3.6,18.08.2025,10601158,GB,0.5291676,0.26747704,2.1136785,0.5653604,,,,0.0,,,,66.0,0.0,8,6,8,1.0,4.0,2.0,7.0,5,5,5,2.0,,,,,8,,,2.0,4.0,1,,1,2,Roman Catholic,6666.0,1,1,6,1936,,74,,,,,,1.0,,West Midlands (England),,2010,0
ESS5e03_6,5,3.6,18.08.2025,10601166,GB,1.0583352,0.8880234,2.1136785,1.8769959,,,,7.0,,,,66.0,0.0,7,6,7,1.0,5.0,1.0,5.0,6,7,3,2.0,,,,,2,,,2.0,3.0,1,,1,2,Other,6666.0,2,2,1,1981,,30,,,,,,2.0,,West Midlands (England),,2010,1
ESS5e03_6,5,3.6,18.08.2025,10601174,GB,1.0583352,0.7631879,2.1136785,1.6131338,,,,7.0,,,,1.0,1.0,6,7,6,1.0,1.0,1.0,4.0,6,6,2,2.0,,,,,3,,,2.0,3.0,1,,1,2,Not applicable,6666.0,3,2,1,1974,,36,,,,,,2.0,,West Midlands (England),,2010,1
ESS5e03_6,5,3.6,18.08.2025,10601208,GB,1.0583352,1.1598182,2.1136785,2.4514828,,,,7.0,,,,1.0,2.0,6,7,4,1.0,2.0,1.0,5.0,6,3,0,7.0,,,,,2,,,2.0,4.0,1,,1,2,Not applicable,6666.0,2,1,2,1968,,42,,,,,,1.0,,West Midlands (England),,2010,1
ESS5e03_6,5,3.6,18.08.2025,10701246,GB,1.0583352,0.9975634,2.1136785,2.1085284,,,,7.0,,,,0.0,1.0,5,4,6,2.0,5.0,2.0,4.0,4,7,5,66.0,,,,,2,,,2.0,3.0,1,,1,2,Not applicable,6666.0,2,2,1,1978,,32,,,,,,2.0,,South West (England),,2010,-1
ESS5e03_6,5,3.6,18.08.2025,10701253,GB,0.5291676,0.47335187,2.1136785,1.0005137,,,,0.0,,,,66.0,0.0,7,5,5,1.0,1.0,3.0,6.0,8,6,7,1.0,,,,,2,,,2.0,4.0,1,,1,2,Not applicable,5.0,1,1,6,1924,,86,,,,,,2.0,,South West (England),,2010,3
ESS5e03_6,5,3.6,18.08.2025,10701295,GB,0.5291676,0.47335187,2.1136785,1.0005137,,,,6.0,,,,66.0,0.0,7,4,5,0.0,1.0,2.0,2.0,6,7,4,66.0,,,,,2,,,2.0,4.0,1,,1,2,Not applicable,2.0,1,1,6,1951,,59,,,,,,2.0,,South West (England),,2010,1
ESS5e03_6,5,3.6,18.08.2025,10701329,GB,0.5291676,0.33298638,2.1136785,0.7038261,,,,0.0,,,,2.0,2.0,6,6,6,66.0,0.0,2.0,2.0,7,3,1,1.0,,,,,2,,,2.0,3.0,1,,1,2,Church of England / Anglican,6666.0,1,1,6,1927,,83,,,,,,1.0,,South West (England),,2010,2
ESS5e03_6,5,3.6,18.08.2025,10701360,GB,1.0583352,0.66597277,2.1136785,1.4076523,,,,7.0,,,,66.0,0.0,7,7,7,0.0,1.0,2.0,2.0,7,6,5,3.0,,,,,1,,,2.0,4.0,1,,1,2,Not applicable,6666.0,2,1,2,1951,,59,,,,,,6.0,,South West (England),,2010,2
ESS5e03_6,5,3.6,18.08.2025,10701386,GB,1.0583352,0.8573291,2.1136785,1.8121179,,,,7.0,,,,2.0,3.0,7,7,5,2.0,4.0,2.0,2.0,5,8,5,1.0,,,,,3,,,2.0,2.0,1,,1,2,Not applicable,6666.0,4,2,1,1975,,35,,,,,,1.0,,South West (England),,2010,0
ESS5e03_6,5,3.6,18.08.2025,10701394,GB,0.5291676,0.33298638,2.1136785,0.7038261,,,,6.0,,,,66.0,0.0,3,6,3,2.0,7.0,2.0,2.0,8,8,5,1.0,,,,,1,,,2.0,4.0,1,,1,2,Not applicable,6666.0,1,1,6,1952,,58,,,,,,2.0,,South West (England),,2010,3
ESS5e03_6,5,3.6,18.08.2025,10801410,GB,0.5291676,0.6416109,2.1136785,1.3561592,,,,7.0,,,,66.0,0.0,7,8,10,0.0,3.0,1.0,7.0,0,4,2,3.0,,,,,2,,,2.0,4.0,1,,1,2,Not applicable,2.0,1,1,6,1981,,29,,,,,,5.0,,South West (England),,2010,-5
ESS5e03_6,5,3.6,18.08.2025,10801444,GB,0.5291676,0.47335187,2.1136785,1.0005137,,,,7.0,,,,66.0,0.0,8,8,8,0.0,4.0,2.0,5.0,5,7,6,1.0,,,,,1,,,2.0,4.0,1,,1,2,Not applicable,6666.0,1,1,6,1953,,57,,,,,,3.0,,South West (England),,2010,0
ESS5e03_6,5,3.6,18.08.2025,10801477,GB,0.5291676,0.33427703,2.1136785,0.7065542,,,,7.0,,,,1.0,2.0,1,9,1,1.0,1.0,4.0,7.0,5,6,5,3.0,,,,,2,,,2.0,2.0,1,,1,1,Church of England / Anglican,6666.0,1,2,6,1949,,61,,,,,,4.0,,South West (England),,2010,0
ESS5e03_6,5,3.6,18.08.2025,10801485,GB,0.5291676,0.42866454,2.1136785,0.90605897,,,,7.0,,,,1.0,1.0,6,6,6,1.0,7.0,2.0,3.0,2,7,5,66.0,,,,,2,,,2.0,2.0,1,,1,2,Not applicable,6666.0,4,2,2,1971,,39,,,,,,5.0,,South West (England),,2010,-3
ESS5e03_6,5,3.6,18.08.2025,10801493,GB,1.0583352,0.8873097,2.1136785,1.8754873,,,,7.0,,,,66.0,0.0,5,7,7,4.0,6.0,3.0,7.0,7,9,7,3.0,,,,,2,,,2.0,2.0,1,,1,2,Church of England / Anglican,6666.0,2,2,1,1956,,54,,,,,,2.0,,South West (England),,2010,2
ESS5e03_6,5,3.6,18.08.2025,10801501,GB,1.0583352,0.600942,2.1136785,1.2701982,,,,1.0,,,,1.0,2.0,7,7,5,0.0,6.0,1.0,7.0,6,3,3,1.0,,,,,1,,,2.0,3.0,1,,1,2,Church of England / Anglican,6666.0,2,1,2,1940,,70,,,,,,1.0,,South West (England),,2010,1
ESS5e03_6,5,3.6,18.08.2025,10801519,GB,0.5291676,0.3085596,2.1136785,0.65219575,,,,0.0,,,,2.0,2.0,8,8,8,66.0,0.0,1.0,6.0,5,5,0,3.0,,,,,2,,,2.0,3.0,2,,1,2,Roman Catholic,6666.0,1,2,6,1925,,85,,,,,,3.0,,South West (England),,2010,0
ESS5e03_6,5,3.6,18.08.2025,10801550,GB,1.0583352,0.600942,2.1136785,1.2701982,,,,0.0,,,,66.0,0.0,5,7,4,1.0,2.0,2.0,6.0,7,8,7,77.0,,,,,2,,,2.0,2.0,1,,1,2,Church of England / Anglican,6666.0,2,1,1,1952,,58,,,,,,4.0,,South West (England),,2010,2
ESS5e03_6,5,3.6,18.08.2025,10801576,GB,0.5291676,0.47335187,2.1136785,1.0005137,,,,7.0,,,,66.0,0.0,5,5,7,6.0,6.0,5.0,7.0,4,1,3,3.0,,,,,1,,,2.0,3.0,1,,1,2,Church of England / Anglican,6666.0,1,1,6,1934,,76,,,,,,1.0,,South West (England),,2010,-1
ESS5e03_6,5,3.6,18.08.2025,10801592,GB,1.0583352,0.8573291,2.1136785,1.8121179,,,,7.0,,,,66.0,0.0,7,6,7,3.0,7.0,3.0,7.0,4,7,3,3.0,,,,,2,,,2.0,3.0,1,,1,1,Other,6666.0,2,2,1,1971,,39,,,,,,4.0,,South West (England),,2010,-1
ESS5e03_6,5,3.6,18.08.2025,10801600,GB,1.0583352,1.3028848,2.1136785,2.7538795,,,,7.0,,,,66.0,0.0,5,3,5,4.0,7.0,2.0,7.0,5,5,1,66.0,,,,,1,,,2.0,4.0,1,,1,2,Not applicable,6666.0,5,1,2,1963,,47,,,,,,5.0,,South West (England),,2010,0
