GB 	United Kingdom
UKL21 	Monmouthshire and Newport
UKL22 	Cardiff and Vale of Glamorgan
UKL23 	Flintshire and Wrexham
UKL24 	Powys
UKM 	Scotland
UKM5 	North Eastern Scotland
UKM50 	Aberdeen City and Aberdeenshire
UKM6 	Highlands and Islands
UKM61 	Caithness & Sutherland and Ross & Cromarty
UKM62 	Inverness & Nairn and Moray, Badenoch & Strathspey
UKM63 	Lochaber, Skye & Lochalsh, Arran & Cumbrae and Argyll & Bute
UKM64 	Na h-Eileanan Siar (Western Isles)
UKM65 	Orkney Islands
UKM66 	Shetland Islands
UKM7 	Eastern Scotland
UKM71 	Angus and Dundee City
UKM72 	Clackmannanshire and Fife
UKM73 	East Lothian and Midlothian
UKM75 	Edinburgh, City of
UKM76 	Falkirk
UKM77 	Perth & Kinross and Stirling
UKM78 	West Lothian
UKM8 	West Central Scotland
UKM81 	East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond
UKM82 	Glasgow City
UKM83 	Inverclyde, East Renfrewshire and Renfrewshire
UKM84 	North Lanarkshire
UKM9 	Southern Scotland
UKM91 	Scottish Borders
UKM92 	Dumfries & Galloway
UKM93 	East Ayrshire and North Ayrshire mainland
UKM94 	South Ayrshire
UKM95 	South Lanarkshire
UKN 	Northern Ireland
UKN0 	Northern Ireland
UKN06 	Belfast
UKN07 	Armagh City, Banbridge and Craigavon
UKN08 	Newry, Mourne and Down
UKN09 	Ards and North Down
UKN0A 	Derry City and Strabane
UKN0B 	Mid Ulster
UKN0C 	Causeway Coast and Glens
UKN0D 	Antrim and Newtownabbey
UKN0E 	Lisburn and Castlereagh
UKN0F 	Mid and East Antrim
UKN0G 	Fermanagh and Omagh
